,법정동명,지하철역,버스정류소,서점,골프연습장업,목욕장업,세탁업,영화상영관,제과점영업,체력단련장업,구분없음,대규모점포,대형마트,백화점,복합쇼핑몰,쇼핑센터,시장,병원,약국,의원,치안센터,경찰서,119안전센터,공원수,노래방수,당구장,도서관,박물관미술관,우체국,음식점수,카페수,패스트푸드,경양식,분식,일식,중국식,한식,의료,생활편의시설,교통,쇼핑시설,장보기시설,생활복지시설,여가
50,묘동,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,2,1,0,0,0,72,8,3,11,10,7,1,31,4,0,2,0,3,2,3
51,봉익동,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43,4,0,4,11,0,1,16,1,1,0,0,0,0,0
52,돈의동,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,126,5,0,3,12,3,1,67,2,1,1,0,0,0,6
53,장사동,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,25,1,0,1,5,0,1,13,0,1,1,1,0,0,2
54,관수동,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,106,9,1,5,12,9,1,55,3,1,1,1,2,0,3
55,종로3가,1,7,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,6,15,0,0,0,0,1,2,0,0,0,68,7,4,3,10,2,0,41,21,0,8,0,3,0,4
56,인의동,0,2,0,1,1,2,0,1,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,71,9,1,7,12,2,1,40,4,3,2,0,3,0,2
57,예지동,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,1,4,1,1,15,0,0,3,1,2,0,0
58,원남동,0,4,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,39,8,1,6,4,1,1,16,5,1,4,0,2,0,3
59,연지동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,59,13,0,3,4,5,0,36,2,0,1,0,0,0,3
60,종로4가,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,1,0,0,0,41,6,0,1,3,0,3,30,21,0,6,0,0,0,1
61,효제동,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,102,6,0,3,5,2,1,58,6,0,3,0,1,0,2
62,종로5가,1,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,31,0,1,0,0,2,8,0,0,0,225,13,0,10,20,4,1,151,58,0,8,1,1,1,10
63,종로6가,1,4,9,0,0,1,0,2,0,0,3,0,0,0,0,0,0,5,20,0,1,0,1,1,2,0,0,0,93,13,1,9,20,3,3,44,25,1,5,9,5,1,4
64,이화동,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,55,6,1,8,5,3,0,18,0,1,2,0,1,0,2
65,연건동,0,15,0,1,0,2,0,6,2,0,0,0,0,0,0,0,2,9,1,0,0,1,0,0,1,0,2,2,70,21,3,7,11,1,3,32,12,2,15,0,6,3,6
66,충신동,0,3,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,30,1,0,1,2,2,0,19,2,2,3,4,1,1,2
67,동숭동,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,6,0,1,0,1,4,1,0,3,3,254,32,3,65,23,11,8,67,8,0,2,2,3,4,9
68,혜화동,0,11,5,0,0,3,0,1,2,0,0,0,0,0,0,0,0,4,11,0,2,0,0,0,0,0,1,1,100,17,3,26,13,2,4,30,15,3,11,5,1,3,3
69,명륜1가,0,5,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,2,0,1,1,49,4,0,8,5,1,4,15,6,4,5,0,0,2,3
70,명륜2가,0,5,2,0,1,2,8,0,2,0,0,0,0,0,0,0,0,1,6,0,0,0,0,7,4,0,1,1,184,18,4,29,25,8,4,62,7,3,5,2,0,1,22
71,명륜4가,1,2,1,0,0,1,0,4,1,0,0,0,0,0,0,0,0,8,2,0,0,0,0,6,1,0,0,0,226,13,3,51,29,14,2,74,10,1,3,1,4,0,8
72,명륜3가,0,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,1,1,112,12,1,14,24,2,2,42,1,1,10,0,1,2,5
73,창신동,2,15,1,1,3,7,0,7,3,0,2,0,0,0,0,1,0,11,36,0,2,0,0,7,11,0,0,0,441,29,5,28,61,10,20,183,47,10,17,1,10,2,22
74,숭인동,2,18,4,2,3,8,0,5,5,1,1,0,0,0,0,1,1,7,14,0,1,1,2,11,6,1,0,0,316,18,5,19,30,11,9,170,22,11,20,4,8,3,26
75,교남동,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,39,3,1,2,5,2,1,25,3,0,4,0,1,0,3
76,평동,1,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,10,5,0,0,0,0,0,1,1,0,0,35,14,0,5,2,2,3,12,16,0,7,0,2,1,1
77,송월동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,1,0,0,0,3
78,홍파동,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,17,1,0,2,1,0,1,5,4,1,1,0,0,0,0
79,교북동,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,29,3,0,6,3,1,0,11,3,0,6,0,3,1,0
80,행촌동,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,22,0,0,1,4,0,0,9,1,1,4,0,0,0,2
81,구기동,0,18,0,1,1,3,0,1,1,0,0,0,0,0,0,0,0,2,3,1,0,0,0,2,2,0,1,1,50,6,1,4,7,2,0,21,5,4,18,0,1,2,7
82,평창동,0,36,1,4,0,5,0,3,4,0,0,0,0,0,0,0,1,3,5,0,0,0,3,0,1,0,5,5,77,28,1,14,7,3,3,34,9,5,36,1,3,5,17
83,부암동,0,9,1,0,1,2,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,3,65,13,2,22,1,2,1,16,2,3,9,1,3,3,5
84,홍지동,0,19,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,42,9,1,11,7,2,1,11,1,1,19,1,3,3,2
85,신영동,0,6,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,28,7,0,3,6,1,1,9,2,2,6,0,1,1,4
86,무악동,0,5,0,1,0,3,0,3,0,0,0,1,0,0,0,0,1,5,3,0,0,0,1,1,0,0,0,0,49,10,3,2,7,1,2,22,9,3,5,0,4,0,3
87,무교동,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,4,14,0,0,0,1,0,2,0,0,0,65,7,1,10,8,6,2,24,18,1,0,0,0,0,7
88,다동,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,2,5,0,1,0,1,0,4,0,0,0,163,23,3,13,18,10,2,88,7,1,0,0,3,1,8
89,태평로1가,0,5,1,2,3,0,0,2,3,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,3,0,1,1,68,18,0,13,6,7,5,21,4,3,5,1,2,2,10
90,을지로1가,1,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,2,0,1,1,45,19,1,7,4,4,1,16,5,0,5,0,4,1,3
91,을지로2가,0,3,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,5,18,0,0,0,2,0,7,0,0,0,159,33,1,10,14,11,5,74,23,1,3,0,3,0,10
92,남대문로1가,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,1,3,2,1,2,0,0,2,0,0,0,0
93,삼각동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,7,3,0,0,0,1,0,4,4,0,1,0,0,0,1
94,수하동,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,41,6,0,4,0,7,2,16,2,1,0,0,0,0,4
95,장교동,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,23,2,0,0,5,2,1,7,3,1,0,0,1,0,4
96,수표동,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,48,9,0,3,5,6,2,15,3,0,1,0,0,0,4
97,소공동,0,2,0,2,1,4,0,14,0,0,1,0,1,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,87,29,3,16,3,15,13,28,5,5,2,1,15,0,3
98,남창동,1,5,0,3,0,1,0,3,2,0,5,0,0,0,0,0,0,6,13,0,1,0,0,1,4,0,0,0,159,22,0,10,23,3,8,85,19,1,6,0,8,1,10
99,북창동,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,5,0,0,0,139,6,0,10,5,15,5,81,2,2,0,0,2,0,9
100,태평로2가,0,7,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,2,0,0,0,106,16,3,12,11,10,4,53,6,1,7,0,3,0,5
101,남대문로2가,0,6,1,0,0,0,5,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,23,9,1,2,3,2,1,6,3,0,6,3,0,0,5
102,남대문로3가,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,1,36,2,1,8,7,1,0,12,5,0,4,0,1,1,1
103,남대문로4가,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,56,6,0,6,4,4,4,25,5,1,2,0,0,0,2
104,남대문로5가,1,8,0,1,3,1,0,9,4,0,0,0,0,0,0,0,0,6,18,0,0,0,1,1,8,0,1,1,203,30,4,24,19,12,13,96,24,4,9,0,9,1,16
105,봉래동1가,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,28,5,0,3,7,2,1,14,5,0,5,0,1,0,2
106,봉래동2가,0,8,0,0,0,0,1,3,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,11,5,1,1,1,1,0,5,1,0,8,2,4,1,1
107,회현동1가,0,3,0,1,0,5,0,2,7,0,0,0,0,0,1,0,0,2,12,0,1,0,0,1,1,0,0,0,143,22,2,14,12,5,7,70,14,5,3,1,2,1,10
108,회현동2가,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,35,8,0,6,2,1,0,17,1,0,3,0,2,2,3
109,회현동3가,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,2,1,2,2,1,1,4,2,1,0,0,0,0,0
110,충무로1가,0,2,0,0,1,1,6,11,1,0,1,0,1,0,0,0,1,3,12,0,0,0,0,0,2,0,0,0,77,19,6,6,7,5,5,32,16,2,2,1,12,0,9
111,충무로2가,1,2,0,1,2,1,8,2,2,0,2,0,0,0,0,0,0,4,12,0,0,0,0,1,4,0,0,0,100,23,3,11,7,5,5,39,16,3,3,0,4,0,16
112,명동1가,0,0,0,2,1,1,0,2,2,0,0,0,0,0,0,0,1,4,10,0,0,0,0,0,3,0,0,0,64,15,2,8,3,2,3,28,15,2,0,0,2,0,7
113,명동2가,0,0,2,4,2,0,4,3,4,0,1,0,0,0,1,0,0,3,15,0,1,0,0,2,0,0,1,1,168,34,5,31,20,7,10,69,18,2,0,3,4,2,15
114,남산동1가,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,1,25,2,0,3,0,0,2,12,6,0,1,0,2,1,1
115,남산동2가,0,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,61,13,1,6,6,3,4,23,0,3,1,0,1,0,2
116,남산동3가,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,2,0,0,0,1,0,5,2,0,0,0,0,0,0
117,저동1가,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,38,5,0,4,2,2,1,24,2,0,3,0,0,0,1
118,충무로4가,0,2,0,3,0,0,9,1,1,0,1,0,0,0,0,0,0,2,6,1,0,0,0,0,4,0,0,0,111,12,0,9,10,10,2,56,8,0,2,0,2,1,17
119,충무로5가,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,0,0,0,55,5,1,2,6,2,1,24,3,1,1,0,0,0,3
120,인현동2가,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,63,2,0,3,2,3,1,42,2,0,0,1,0,0,5
121,예관동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,3,1,0,7,0,0,1,0,0,0,0
122,묵정동,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1,0,0,19,8,0,4,1,0,1,9,4,0,1,0,1,1,1
123,필동1가,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,2,0,0,0,59,8,0,9,8,0,3,21,3,1,4,0,1,1,2
124,필동2가,2,1,1,2,0,2,3,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,4,2,0,0,0,137,23,1,13,12,9,4,54,6,2,3,1,0,0,12
125,필동3가,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,5,0,1,1,64,16,1,1,6,4,3,34,2,0,0,0,1,1,8
126,남학동,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,5,1,0,0,9,0,1,0,0,0,0,0
127,주자동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0
128,예장동,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,11,4,0,0,4,0,0,3,0,0,0,1
129,장충동1가,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,29,8,0,1,1,1,1,14,2,2,3,0,0,1,3
130,장충동2가,1,10,0,2,4,2,1,9,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,2,0,1,1,121,18,0,24,11,8,4,54,2,6,11,0,9,2,11
131,광희동1가,1,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,90,7,1,5,6,5,1,46,1,1,1,0,3,0,2
132,광희동2가,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,19,5,0,3,3,0,0,6,4,0,6,0,0,0,2
133,쌍림동,0,2,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,1,0,0,0,46,12,0,2,3,3,1,22,6,3,2,0,1,0,3
134,을지로6가,0,8,16,4,1,0,14,6,1,0,7,0,0,0,2,0,0,7,12,0,0,0,0,2,9,0,0,0,269,57,11,29,30,15,12,105,19,1,8,18,13,0,30
135,을지로7가,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,26,9,1,5,1,1,0,10,1,0,1,1,1,0,0
136,을지로4가,1,4,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,4,14,0,0,0,0,0,3,0,0,0,58,12,1,4,10,1,1,24,18,0,5,0,2,0,4
137,을지로5가,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,3,0,0,0,41,7,0,5,4,3,2,17,3,1,2,0,0,1,7
138,주교동,1,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,75,9,0,2,14,0,1,44,2,1,3,1,0,0,6
139,방산동,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9,3,1,1,2,1,1,4,1,0,3,2,1,0,1
140,오장동,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,55,11,0,6,4,2,0,34,3,1,0,0,2,0,3
141,을지로3가,2,3,1,3,2,0,0,2,3,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,5,0,0,0,160,13,0,14,11,8,5,50,5,2,5,1,2,1,11
142,입정동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,2,0,2,2,16,0,0,1,0,0,0,0
143,산림동,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,0,4,5,0,1,18,0,0,0,2,3,0,0
144,충무로3가,0,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,3,0,0,0,118,9,0,11,16,6,3,55,5,0,1,1,0,1,7
145,초동,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,6,0,0,0,108,6,1,16,11,8,1,50,7,1,0,0,0,0,11
146,인현동1가,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,47,6,0,4,8,0,1,25,0,2,0,1,0,0,5
147,저동2가,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,6,0,0,0,1,0,3,0,0,0,101,17,0,8,11,7,2,43,12,0,0,1,1,0,5
148,신당동,6,43,1,15,6,41,0,23,24,1,15,0,0,0,0,0,2,37,108,2,3,2,3,33,39,5,0,0,1015,134,15,61,105,45,31,460,147,47,49,1,39,12,114
149,흥인동,1,2,0,2,0,0,0,2,4,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,3,0,0,0,85,12,1,6,12,5,5,32,9,0,3,0,2,0,9
150,무학동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,1,0,9,3,0,0,0,48,2,0,4,1,1,1,23,7,0,1,0,0,1,12
151,황학동,0,6,0,4,2,6,0,6,8,0,2,1,0,0,0,0,0,10,17,0,0,0,0,2,10,0,0,0,317,17,7,11,35,18,8,182,27,8,6,0,9,0,24
152,서소문동,1,4,1,2,0,0,0,3,3,0,0,0,0,0,0,0,0,4,18,0,1,0,1,0,3,0,1,1,143,22,1,11,18,15,8,66,22,0,5,1,3,2,10
153,정동,1,3,0,3,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,89,12,0,9,4,10,3,45,0,0,4,0,2,2,10
154,순화동,0,2,1,3,1,1,0,1,3,0,0,0,0,0,0,0,1,1,7,0,0,0,1,0,1,0,0,0,107,15,2,7,3,8,2,65,9,2,2,1,1,0,8
155,의주로1가,0,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,1,0,0,0,1,0,1,2,0,3,0,1,0,4
156,충정로1가,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,11,5,0,0,0,0,0,4,1,0,1,0,1,1,3
157,중림동,0,8,1,1,0,4,0,4,2,0,0,0,0,0,0,0,0,6,13,0,1,0,0,3,3,0,0,0,164,13,0,6,19,7,5,83,19,4,8,1,4,1,9
158,의주로2가,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1
159,만리동1가,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,5,0,5,2,1,0,9,0,0,1,0,2,0,2
160,만리동2가,0,3,0,1,0,1,0,2,1,1,0,0,0,0,0,0,0,2,4,0,0,0,4,0,1,2,1,1,14,6,0,1,4,0,1,2,6,1,3,0,3,3,8
161,후암동,0,19,1,1,3,6,0,5,1,0,0,0,0,0,0,0,0,5,14,0,1,1,0,3,2,2,0,0,183,14,1,25,18,12,4,59,19,9,19,1,5,4,7
162,용산동2가,0,26,4,0,1,3,0,5,1,0,0,0,0,0,0,0,0,2,6,1,0,0,0,2,2,0,0,0,249,16,2,62,13,11,3,45,8,4,26,4,5,1,5
163,용산동4가,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
164,갈월동,1,9,1,0,1,2,0,5,2,0,0,0,0,0,0,0,0,4,26,0,0,0,0,3,4,0,0,0,103,14,3,14,7,3,3,40,30,3,10,1,5,0,9
165,남영동,0,3,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,2,8,0,0,0,0,7,2,0,0,0,144,5,1,15,9,12,5,70,10,0,3,0,1,0,15
166,용산동1가,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,0,0,0,0,0,3,0,0,1,1
167,동자동,1,6,1,2,1,2,0,13,1,0,0,0,0,0,0,0,0,2,4,1,0,0,0,2,4,0,0,0,168,18,3,9,10,13,9,78,6,3,7,1,13,1,9
168,서계동,0,8,0,0,0,3,0,3,1,0,0,0,0,0,0,1,1,2,8,0,0,0,0,3,2,1,0,0,101,9,1,11,11,1,1,42,11,3,8,0,4,1,6
169,청파동1가,0,3,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,37,5,0,2,5,1,0,18,3,5,3,0,0,0,3
170,청파동2가,0,10,1,0,1,3,0,3,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,0,0,3,3,108,31,1,19,13,5,3,32,4,4,10,1,3,3,7
171,청파동3가,0,3,1,2,2,2,0,2,1,0,0,0,0,0,0,0,0,2,4,1,0,0,0,1,1,0,0,0,110,11,0,12,11,6,4,37,6,4,3,1,2,1,5
172,원효로1가,0,10,0,1,0,3,0,5,5,1,0,0,0,0,0,0,0,0,9,0,1,0,0,1,0,1,0,0,114,16,2,7,5,4,3,53,9,3,10,0,6,2,7
173,원효로2가,0,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,5,1,0,0,0,98,3,1,8,4,4,4,45,12,1,5,0,2,0,6
174,신창동,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,0,0,2,0,1,4,0,0,0,0
175,산천동,0,2,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,1,5,1,2,0,3,0,2
176,청암동,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,0,0,0,0
177,원효로3가,0,4,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,61,4,0,5,6,2,7,28,1,3,4,0,0,0,5
178,원효로4가,0,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,24,6,0,1,2,1,1,11,1,0,9,0,1,0,3
179,효창동,1,14,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,5,7,0,0,0,1,0,2,0,2,2,50,9,0,6,3,4,1,13,12,1,15,0,3,2,6
180,도원동,0,6,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,4,0,2,1,1,0,4,3,3,6,0,4,0,0
181,용문동,0,11,0,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,4,1,0,0,0,91,10,0,2,10,4,0,46,11,4,11,0,4,0,5
182,문배동,0,6,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,25,3,0,2,0,2,1,10,1,4,6,0,1,0,4
183,신계동,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,54,3,0,1,7,3,2,31,0,1,3,0,0,0,5
184,한강로1가,2,5,0,1,0,4,0,3,0,0,1,0,0,0,0,0,0,1,7,0,1,0,0,5,3,0,0,0,147,9,0,25,4,5,5,52,8,4,7,0,4,1,9
185,한강로2가,1,11,1,1,0,4,0,10,1,0,2,1,0,0,0,0,0,3,37,0,0,1,0,3,2,0,1,1,369,43,3,49,16,27,11,151,40,4,12,1,13,2,8
186,용산동3가,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,27,4,0,5,4,0,0,11,2,1,1,0,2,0,0
187,용산동5가,1,3,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,19,8,0,7,0,2,1,4,2,1,4,0,3,1,2
188,한강로3가,0,22,2,2,3,5,28,13,6,1,0,0,1,0,1,0,0,10,17,0,0,0,2,2,3,0,0,0,349,62,5,42,19,25,13,139,27,8,22,4,14,0,43
189,이촌동,0,31,0,4,3,9,0,6,6,1,0,0,0,0,0,0,1,4,35,1,0,1,7,1,1,0,0,0,198,15,0,24,14,24,9,74,40,12,31,0,7,2,19
190,이태원동,1,34,3,1,4,10,0,16,9,0,0,0,0,0,1,1,0,2,24,0,1,1,2,10,2,0,0,0,1034,42,2,306,32,30,20,176,26,14,35,4,17,2,24
191,한남동,1,39,3,3,2,9,0,23,26,1,0,0,0,0,0,0,1,6,24,1,1,0,3,9,2,0,2,2,759,67,4,168,24,47,22,200,31,11,40,3,24,4,45
192,동빙고동,0,6,1,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,3,0,5,1,3,2,12,0,1,6,1,1,0,3
193,서빙고동,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,3,0,1,1,0,0,4,0,0,13,0,0,1,1
194,주성동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,용산동6가,0,6,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,13,4,0,1,3,0,1,4,2,1,6,2,1,0,1
196,보광동,0,11,1,0,5,8,0,2,4,0,0,0,0,0,0,1,0,6,20,0,1,0,0,5,4,0,0,0,190,11,2,17,18,4,7,78,26,13,11,1,3,1,13
197,상왕십리동,0,5,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,1,7,0,0,0,1,1,0,1,0,0,55,3,0,3,3,8,2,20,8,3,5,0,1,1,3
