,법정동명,석유판매업,공원수,음식점수,장보기시설,쇼핑시설,의료,치안,생횔편의시설,여가,교통
445,풍납동,1,3,218,2.0,0.0,67,2,34,31,32
446,송파동,3,4,583,2.0,1.0,90,1,46,76,19
447,석촌동,6,1,589,1.0,1.0,100,1,41,74,19
448,삼전동,1,1,318,1.0,0.0,62,1,31,62,13
449,가락동,5,5,951,5.0,1.0,180,3,63,173,66
450,문정동,1,11,1217,2.0,2.0,137,2,57,114,49
451,장지동,5,6,166,0.0,0.0,39,2,21,8,50
452,방이동,3,4,929,2.0,1.0,126,2,47,143,50
453,오금동,3,6,281,1.0,1.0,46,1,34,49,34
454,거여동,2,6,237,1.0,0.0,74,0,30,51,42
455,마천동,3,12,326,0.0,2.0,66,4,24,39,29
456,명일동,3,0,384,4.0,1.0,149,3,38,70,42
457,고덕동,1,1,209,1.0,0.0,46,2,24,19,41
458,상일동,1,2,188,0.0,0.0,18,2,23,21,61
459,길동,0,0,597,2.0,2.0,119,2,37,86,37
460,둔촌동,2,1,190,0.0,0.0,34,2,19,34,40
461,암사동,2,1,422,4.0,0.0,92,3,48,65,30
462,성내동,4,0,994,3.0,2.0,170,3,73,148,55
463,천호동,5,0,1024,3.0,3.0,205,4,87,93,54
464,강일동,1,4,59,0.0,0.0,41,1,17,6,49
